category,label,text,language
benign,safe,OTP for login to your HDFC account is 102677. Do not share this with anyone.,en
phishing,scam,Amazon Winner! You have been selected for a free gift worth Rs.10000. Claim: http://www.airtel-claim-reward-now.net,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
phishing,scam,Flipkart Winner! You have been selected for a free gift worth Rs.25000. Claim: http://secure.jio-update-kyc.in,en
upi_fraud,scam,Congratulations! You won Rs.49999 cashback on Google Pay. Click here and enter PIN to receive: http://www.paytm-secure-login.xyz,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 2:30 PM. Please arrive 10 minutes early.,en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
upi_fraud,scam,Your electricity bill of Rs.100000 is pending. Power will be disconnected at 9 PM. Pay via UPI: 7306412698@ybl,en
phishing,scam,"Dear Yes Bank customer, 15,000 reward points are expiring today. Redeem for cash at http://www.paytm-verify-account-info.com",en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 947376.,en
benign,safe,Your Uber trip has ended. Total fare: Rs.999.,en
benign,safe,"Salary of Rs.100000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
upi_fraud,scam,"Dear Sir/Madam, your UPI transaction of INR 9999 failed. Scan the QR code sent on your WhatsApp to process refund.",en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.49999. Claim it here: http://amazon-update-kyc.in,en
phishing,scam,URGENT: Your Punjab National Bank account KYC has expired. Update immediately at http://reliance-verify-account-info.com to avoid suspension.,en
phishing,scam,Your SBI internet banking access will be locked in 24 hrs. Verify your identity at http://www.jio-refund-processing.online,en
phishing,scam,Your SBI internet banking access will be locked in 24 hrs. Verify your identity at http://secure.amazon-verify-account-info.com,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 888511.,en
benign,safe,"Hey, are we still meeting for dinner at 10:00 AM?",en
investment_scam,scam,You have been chosen for an exclusive Forex trading group. Deposit Rs.100000 and our AI will trade for you. http://secure.flipkart-official-portal.co,en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
upi_fraud,scam,You have received a payment of Rs.50000 on PhonePe. Enter your UPI pin to claim the amount.,en
phishing,scam,"Your Gmail account has been logged in from an unknown device. If this wasn't you, secure your account: http://www.airtel-claim-reward-now.net",en
upi_fraud,scam,Customer Service: Please share the 6-digit OTP to process your refund of Rs.100000 via UPI.,en
benign,safe,Meeting pushed to 2:30 PM. Please check the updated invite.,en
upi_fraud,scam,"ALERT: Rs.100000 debited from your A/c. If not done by you, forward this SMS to +91-6844474760 to block transaction.",en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://secure.flipkart-official-portal.co to continue watching.,en
phishing,scam,Your Yes Bank internet banking access will be locked in 24 hrs. Verify your identity at http://www.paytm-refund-processing.online,en
benign,safe,Boarding pass for Air India flight AI452 is attached. Safe travels!,en
upi_fraud,scam,Your electricity bill of INR 5000 is pending. Power will be disconnected at 9 PM. Pay via UPI: 8614540713@ybl,en
upi_fraud,scam,Your electricity bill of Rs.50000 is pending. Power will be disconnected at 9 PM. Pay via UPI: 9029839741@oksbi,en
upi_fraud,scam,"Dear Sir/Madam, your UPI transaction of Rs.49999 failed. Scan the QR code sent on your WhatsApp to process refund.",en
phishing,scam,INCOME TAX NOTICE: YOU HAVE A PENDING REFUND OF RS.100000. CLAIM IT HERE: HTTP://WWW.JIO-SECURE-LOGIN.XYZ,en
upi_fraud,scam,Your Paytm KYC details are incomplete. Your wallet will be blocked. Call +91-9773277294 to update.,en
investment_scam,scam,"Make Rs.50,000 per month with simple data entry. Zero investment plan requires Rs.1500 registration. http://www.tata-refund-processing.online",en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.5000 online using http://amazon-official-portal.co and get 10% cashback.",en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
upi_fraud,scam,You have received a payment of Rs.5000 on PhonePe. Enter your UPI pin to claim the amount.,en
upi_fraud,scam,You have received a payment of Rs.9999 on PhonePe. Enter your UPI pin to claim the amount.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.50000. Claim it here: http://amazon-update-kyc.in,en
benign,safe,"Hey, are we still meeting for dinner at 10:00 AM?",en
upi_fraud,scam,"Dear Customer, your FASTag wallet is almost empty. Recharge now via UPI 6046017917@okicici to avoid double toll.",en
phishing,scam,"Your Gmail account has been logged in from an unknown device. If this wasn't you, secure your account: http://flipkart-official-portal.co",en
phishing,scam,"Dear customer, your PAN card is not linked to your Canara Bank account. Link now: http://www.airtel-refund-processing.online",en
upi_fraud,scam,Customer Service: Please share the 6-digit OTP to process your refund of Rs.50000 via UPI.,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
benign,safe,"Salary of Rs.5000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
benign,safe,WiFi bill generated for March. Amount due Rs.100. Pay by 15th.,en
benign,safe,"Hey, are we still meeting for dinner at 2:30 PM?",en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
investment_scam,scam,RBI Approved SIP: Invest Rs.1000/month and get 1 Crore in 5 years. Start your journey today: http://tata-update-kyc.in,en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
investment_scam,scam,IPO ALERT: APPLY FOR PRE-IPO SHARES OF AMAZON. 500% RETURNS EXPECTED IN 3 MONTHS. REGISTER: HTTP://WWW.AIRTEL-OFFICIAL-PORTAL.CO,en
phishing,scam,YOUR CANARA BANK INTERNET BANKING ACCESS WILL BE LOCKED IN 24 HRS. VERIFY YOUR IDENTITY AT HTTP://WWW.AIRTEL-OFFICIAL-PORTAL.CO,en
investment_scam,scam,Double your money in 100 days! Authentic scheme registered with Government. Start investing: http://tata-refund-processing.online,en
upi_fraud,scam,"Dear Sir/Madam, your UPI transaction of Rs.25000 failed. Scan the QR code sent on your WhatsApp to process refund.",en
investment_scam,scam,RBI Approved SIP: Invest Rs.1000/month and get 1 Crore in 5 years. Start your journey today: http://flipkart-official-portal.co,en
phishing,scam,"Dear Canara Bank customer, 15,000 reward points are expiring today. Redeem for cash at http://airtel-claim-reward-now.net",en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
benign,safe,Meeting pushed to 7:45 PM. Please check the updated invite.,en
upi_fraud,scam,You have received a payment of Rs.25000 on PhonePe. Enter your UPI pin to claim the amount.,en
benign,safe,WiFi bill generated for March. Amount due Rs.1500. Pay by 15th.,en
upi_fraud,scam,Congratulations! You won Rs.5000 cashback on Google Pay. Click here and enter PIN to receive: http://www.reliance-official-portal.co,en
benign,safe,"Hey, are we still meeting for dinner at 2:30 PM?",en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.5000. Claim it here: http://secure.flipkart-secure-login.xyz,en
benign,safe,OTP for login to your HDFC account is 190581. Do not share this with anyone.,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 847194.,en
benign,safe,OTP for login to your HDFC account is 925560. Do not share this with anyone.,en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 9122208088@ybl,en
investment_scam,scam,Double your money in 100 days! Authentic scheme registered with Government. Start investing: http://jio-update-kyc.in,en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM. Please arrive 10 minutes early.,en
benign,safe,"Hey, are we still meeting for dinner at 5:00 PM?",en
investment_scam,scam,Earn Guaranteed 30% monthly returns! Invest Rs.10000 in crypto now. Join Telegram: http://paytm-secure-login.xyz,en
phishing,scam,"Dear customer, your PAN card is not linked to your Bank of Baroda account. Link now: http://jio-update-kyc.in",en
upi_fraud,scam,"ALERT: Rs.5000 debited from your A/c. If not done by you, forward this SMS to +91-7631488667 to block transaction.",en
upi_fraud,scam,YOU HAVE RECEIVED A PAYMENT OF RS.5000 ON PHONEPE. ENTER YOUR UPI PIN TO CLAIM THE AMOUNT.,en
upi_fraud,scam,Your Paytm KYC details are incomplete. Your wallet will be blocked. Call +91-9629589863 to update.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.5000. Claim it here: http://airtel-refund-processing.online,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
phishing,scam,"DEAR CANARA BANK CUSTOMER, 15,000 REWARD POINTS ARE EXPIRING TODAY. REDEEM FOR CASH AT HTTP://WWW.PAYTM-UPDATE-KYC.IN",en
benign,safe,Can you send me the presentation file before EOD?,en
investment_scam,scam,Work from home opportunity! Earn Rs.5000 daily by liking YouTube videos. Deposit Rs.250 security fee.,en
phishing,scam,Jio Winner! You have been selected for a free gift worth Rs.5000. Claim: http://airtel-update-kyc.in,en
benign,safe,Boarding pass for Air India flight AI452 is attached. Safe travels!,en
upi_fraud,scam,Your electricity bill of Rs.25000 is pending. Power will be disconnected at 9 PM. Pay via UPI: 7485325610@paytm,en
investment_scam,scam,Earn Guaranteed 30% monthly returns! Invest Rs.10000 in crypto now. Join Telegram: http://tata-claim-reward-now.net,en
benign,safe,"Hey, are we still meeting for dinner at 5:00 PM?",en
upi_fraud,scam,You have received a payment of Rs.25000 on PhonePe. Enter your UPI pin to claim the amount.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.49999. Claim it here: http://www.jio-official-portal.co,en
investment_scam,scam,"Make Rs.50,000 per month with simple data entry. Zero investment plan requires Rs.500 registration. http://secure.amazon-secure-login.xyz",en
benign,safe,BOARDING PASS FOR AIR INDIA FLIGHT AI452 IS ATTACHED. SAFE TRAVELS!,en
phishing,scam,AMAZON WINNER! YOU HAVE BEEN SELECTED FOR A FREE GIFT WORTH RS.25000. CLAIM: HTTP://SECURE.AIRTEL-SECURE-LOGIN.XYZ,en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM. Please arrive 10 minutes early.,en
phishing,scam,Your SBI internet banking access will be locked in 24 hrs. Verify your identity at http://secure.flipkart-secure-login.xyz,en
phishing,scam,URGENT: Your Union Bank account KYC has expired. Update immediately at http://tata-official-portal.co to avoid suspension.,en
benign,safe,Meeting pushed to 5:00 PM. Please check the updated invite.,en
benign,safe,Your Uber trip has ended. Total fare: Rs.999.,en
benign,safe,Can you send me the presentation file before EOD?,en
phishing,scam,Paytm Winner! You have been selected for a free gift worth INR 100000. Claim: http://secure.airtel-verify-account-info.com,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 210062.,en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 9998867496@oksbi,en
investment_scam,scam,Part-time job offer from Amazon. Earn up to Rs.3000/day. Message HR on WhatsApp: +91-6331321399,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
phishing,scam,Paytm Winner! You have been selected for a free gift worth INR 10000. Claim: http://www.reliance-secure-login.xyz,en
phishing,scam,Your Union Bank internet banking access will be locked in 24 hrs. Verify your identity at http://www.airtel-update-kyc.in,en
upi_fraud,scam,Your Paytm KYC details are incomplete. Your wallet will be blocked. Call +91-6222440082 to update.,en
investment_scam,scam,RBI Approved SIP: Invest Rs.1000/month and get 1 Crore in 5 years. Start your journey today: http://amazon-refund-processing.online,en
benign,safe,"Hey, are we still meeting for dinner at 2:30 PM?",en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.50000 online using http://secure.amazon-secure-login.xyz and get 10% cashback.",en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
upi_fraud,scam,"ALERT: Rs.10000 debited from your A/c. If not done by you, forward this SMS to +91-8360340697 to block transaction.",en
benign,safe,"Hey, are we still meeting for dinner at 2:30 PM?",en
upi_fraud,scam,Your electricity bill of Rs.100000 is pending. Power will be disconnected at 9 PM. Pay via UPI: 9117424052@oksbi,en
investment_scam,scam,Double your money in 100 days! Authentic scheme registered with Government. Start investing: http://www.amazon-official-portal.co,en
phishing,scam,"Your Instagram account has been logged in from an unknown device. If this wasn't you, secure your account: http://secure.jio-claim-reward-now.net",en
benign,safe,OTP for login to your HDFC account is 634967. Do not share this with anyone.,en
benign,safe,Boarding pass for Air India flight AI452 is attached. Safe travels!,en
investment_scam,scam,RBI Approved SIP: Invest Rs.1000/month and get 1 Crore in 5 years. Start your journey today: http://www.reliance-secure-login.xyz,en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 9650571169@ybl,en
upi_fraud,scam,Your Paytm KYC details are incomplete. Your wallet will be blocked. Call +91-9570081478 to update.,en
upi_fraud,scam,CONGRATULATIONS! YOU WON RS.100000 CASHBACK ON GOOGLE PAY. CLICK HERE AND ENTER PIN TO RECEIVE: HTTP://WWW.AIRTEL-SECURE-LOGIN.XYZ,en
phishing,scam,"Dear Axis Bank customer, 15,000 reward points are expiring today. Redeem for cash at http://secure.jio-official-portal.co",en
investment_scam,scam,Part-time job offer from Amazon. Earn up to Rs.3000/day. Message HR on WhatsApp: +91-6012369179,en
phishing,scam,URGENT: Your ICICI account KYC has expired. Update immediately at http://www.paytm-secure-login.xyz to avoid suspension.,en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.5000 online using http://amazon-update-kyc.in and get 10% cashback.",en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
phishing,scam,"Dear Kotak customer, 15,000 reward points are expiring today. Redeem for cash at http://secure.amazon-secure-login.xyz",en
investment_scam,scam,Double your money in 100 days! Authentic scheme registered with Government. Start investing: http://reliance-official-portal.co,en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://paytm-secure-login.xyz to continue watching.,en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
phishing,scam,"Dear customer, your PAN card is not linked to your SBI account. Link now: http://secure.airtel-update-kyc.in",en
benign,safe,Your Uber trip has ended. Total fare: Rs.250.,en
upi_fraud,scam,"ALERT: INR 25000 debited from your A/c. If not done by you, forward this SMS to +91-8597183341 to block transaction.",en
upi_fraud,scam,Congratulations! You won INR 5000 cashback on Google Pay. Click here and enter PIN to receive: http://secure.reliance-official-portal.co,en
phishing,scam,"Dear Kotak customer, 15,000 reward points are expiring today. Redeem for cash at http://www.paytm-verify-account-info.com",en
investment_scam,scam,Work from home opportunity! Earn Rs.5000 daily by liking YouTube videos. Deposit Rs.1500 security fee.,en
upi_fraud,scam,"Dear Sir/Madam, your UPI transaction of Rs.25000 failed. Scan the QR code sent on your WhatsApp to process refund.",en
phishing,scam,Flipkart Winner! You have been selected for a free gift worth Rs.100000. Claim: http://tata-update-kyc.in,en
phishing,scam,Income Tax Notice: You have a pending refund of INR 10000. Claim it here: http://reliance-refund-processing.online,en
upi_fraud,scam,Customer Service: Please share the 6-digit OTP to process your refund of INR 100000 via UPI.,en
upi_fraud,scam,"Dear Customer, your FASTag wallet is almost empty. Recharge now via UPI 8284390386@okicici to avoid double toll.",en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
phishing,scam,"Dear customer, your PAN card is not linked to your Union Bank account. Link now: http://secure.reliance-claim-reward-now.net",en
benign,safe,YOUR SWIGGY ORDER #45829 IS ON THE WAY. DELIVERY EXECUTIVE WILL BE THERE IN 15 MINS.,en
upi_fraud,scam,RELIANCE JIO: YOUR NUMBER HAS BEEN SELECTED FOR 1-YEAR FREE RECHARGE. PAY RS.10 ACTIVATION FEE VIA UPI: 6750117358@YBL,en
phishing,scam,"Dear customer, your PAN card is not linked to your Punjab National Bank account. Link now: http://secure.paytm-secure-login.xyz",en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://secure.flipkart-refund-processing.online to continue watching.,en
upi_fraud,scam,Your electricity bill of Rs.49999 is pending. Power will be disconnected at 9 PM. Pay via UPI: 9683836396@oksbi,en
benign,safe,"SALARY OF RS.50000 CREDITED TO YOUR ACCOUNT XX4521 ON 01-MAR-2026. AVAIL BAL: RS.1,45,200.",en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
benign,safe,"Salary of Rs.50000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
benign,safe,BOARDING PASS FOR AIR INDIA FLIGHT AI452 IS ATTACHED. SAFE TRAVELS!,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 5:00 PM. Please arrive 10 minutes early.,en
benign,safe,WiFi bill generated for March. Amount due INR 1500. Pay by 15th.,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
benign,safe,"Salary of Rs.10000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
upi_fraud,scam,Customer Service: Please share the 6-digit OTP to process your refund of Rs.25000 via UPI.,en
benign,safe,Meeting pushed to 4:15 PM. Please check the updated invite.,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 2:30 PM. Please arrive 10 minutes early.,en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
benign,safe,"Salary of Rs.9999 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
benign,safe,Boarding pass for Air India flight AI452 is attached. Safe travels!,en
phishing,scam,URGENT: Your Union Bank account KYC has expired. Update immediately at http://www.reliance-official-portal.co to avoid suspension.,en
investment_scam,scam,RBI Approved SIP: Invest Rs.1000/month and get 1 Crore in 5 years. Start your journey today: http://www.reliance-update-kyc.in,en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://paytm-update-kyc.in to continue watching.,en
phishing,scam,URGENT: Your Yes Bank account KYC has expired. Update immediately at http://www.airtel-official-portal.co to avoid suspension.,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 2:30 PM. Please arrive 10 minutes early.,en
phishing,scam,Your Axis Bank internet banking access will be locked in 24 hrs. Verify your identity at http://reliance-update-kyc.in,en
investment_scam,scam,You have been chosen for an exclusive Forex trading group. Deposit Rs.50000 and our AI will trade for you. http://jio-secure-login.xyz,en
phishing,scam,YOUR NETFLIX SUBSCRIPTION HAS EXPIRED. RENEW IMMEDIATELY AT HTTP://SECURE.FLIPKART-REFUND-PROCESSING.ONLINE TO CONTINUE WATCHING.,en
phishing,scam,"Your Instagram account has been logged in from an unknown device. If this wasn't you, secure your account: http://www.flipkart-official-portal.co",en
investment_scam,scam,You have been chosen for an exclusive Forex trading group. Deposit Rs.10000 and our AI will trade for you. http://secure.airtel-claim-reward-now.net,en
upi_fraud,scam,Congratulations! You won Rs.100000 cashback on Google Pay. Click here and enter PIN to receive: http://www.amazon-secure-login.xyz,en
phishing,scam,Your HDFC internet banking access will be locked in 24 hrs. Verify your identity at http://reliance-secure-login.xyz,en
phishing,scam,"Dear customer, your PAN card is not linked to your HDFC account. Link now: http://tata-claim-reward-now.net",en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
benign,safe,Meeting pushed to 7:45 PM. Please check the updated invite.,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
upi_fraud,scam,Aapke UPI par Rs.10000 bhej diye gaye hain. Confirm karne ke liye apna PIN dalein.,hi
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 343787.,en
benign,safe,WiFi bill generated for March. Amount due Rs.999. Pay by 15th.,en
phishing,scam,"Your Instagram account has been logged in from an unknown device. If this wasn't you, secure your account: http://www.jio-refund-processing.online",en
investment_scam,scam,You have been chosen for an exclusive Forex trading group. Deposit Rs.50000 and our AI will trade for you. http://www.tata-claim-reward-now.net,en
upi_fraud,scam,Congratulations! You won Rs.100000 cashback on Google Pay. Click here and enter PIN to receive: http://flipkart-claim-reward-now.net,en
phishing,scam,Your Kotak internet banking access will be locked in 24 hrs. Verify your identity at http://secure.flipkart-update-kyc.in,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
phishing,scam,"Your Instagram account has been logged in from an unknown device. If this wasn't you, secure your account: http://www.paytm-claim-reward-now.net",en
benign,safe,YOUR UBER TRIP HAS ENDED. TOTAL FARE: RS.2000.,en
benign,safe,Meeting pushed to 10:00 AM. Please check the updated invite.,en
investment_scam,scam,Binance VIP Trading Signals. 99% accuracy. Pay monthly fee of Rs.49999 for access.,en
investment_scam,scam,You have been chosen for an exclusive Forex trading group. Deposit Rs.50000 and our AI will trade for you. http://www.paytm-secure-login.xyz,en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 9576425283@ybl,en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 8728441818@okicici,en
upi_fraud,scam,"ALERT: Rs.100000 debited from your A/c. If not done by you, forward this SMS to +91-8804895317 to block transaction.",en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 8364534818@ybl,en
benign,safe,Your Uber trip has ended. Total fare: Rs.250.,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 824207.,en
phishing,scam,"Dear Bank of Baroda customer, 15,000 reward points are expiring today. Redeem for cash at http://www.airtel-official-portal.co",en
upi_fraud,scam,"Dear Sir/Madam, your UPI transaction of INR 25000 failed. Scan the QR code sent on your WhatsApp to process refund.",en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
benign,safe,Can you send me the presentation file before EOD?,en
phishing,scam,"Your WhatsApp account has been logged in from an unknown device. If this wasn't you, secure your account: http://www.tata-secure-login.xyz",en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 8594088464@ybl,en
phishing,scam,"Dear customer, your PAN card is not linked to your ICICI account. Link now: http://secure.paytm-verify-account-info.com",en
upi_fraud,scam,Your electricity bill of Rs.9999 is pending. Power will be disconnected at 9 PM. Pay via UPI: 6074275431@ybl,en
upi_fraud,scam,"Dear Customer, your FASTag wallet is almost empty. Recharge now via UPI 9486121684@ybl to avoid double toll.",en
phishing,scam,Amazon Winner! You have been selected for a free gift worth Rs.9999. Claim: http://www.paytm-claim-reward-now.net,en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
investment_scam,scam,IPO Alert: Apply for Pre-IPO shares of Amazon. 500% returns expected in 3 months. Register: http://www.jio-claim-reward-now.net,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
phishing,scam,Your Kotak internet banking access will be locked in 24 hrs. Verify your identity at http://paytm-update-kyc.in,en
benign,safe,"Hey, are we still meeting for dinner at 2:30 PM?",en
phishing,scam,Action Required: Complete your HDFC Aadhaar linking process today via http://paytm-verify-account-info.com,en
benign,safe,"Salary of Rs.25000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.25000 online using http://www.tata-official-portal.co and get 10% cashback.",en
phishing,scam,"Dear Union Bank customer, 15,000 reward points are expiring today. Redeem for cash at http://jio-update-kyc.in",en
benign,safe,Meeting pushed to 10:00 AM. Please check the updated invite.,en
phishing,scam,URGENT: Your HDFC account KYC has expired. Update immediately at http://tata-refund-processing.online to avoid suspension.,en
phishing,scam,"Dear customer, your PAN card is not linked to your Union Bank account. Link now: http://flipkart-update-kyc.in",en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 7532431314@okicici,en
phishing,scam,Action Required: Complete your Canara Bank Aadhaar linking process today via http://www.paytm-update-kyc.in,en
benign,safe,"HEY, ARE WE STILL MEETING FOR DINNER AT 10:00 AM?",en
benign,safe,Meeting pushed to 7:45 PM. Please check the updated invite.,en
phishing,scam,"Your Instagram account has been logged in from an unknown device. If this wasn't you, secure your account: http://jio-update-kyc.in",en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://airtel-refund-processing.online to continue watching.,en
investment_scam,scam,RBI Approved SIP: Invest Rs.1000/month and get 1 Crore in 5 years. Start your journey today: http://secure.flipkart-verify-account-info.com,en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
phishing,scam,Reliance Winner! You have been selected for a free gift worth Rs.5000. Claim: http://secure.jio-claim-reward-now.net,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 829306.,en
benign,safe,OTP for login to your HDFC account is 263325. Do not share this with anyone.,en
upi_fraud,scam,Aapke UPI par Rs.10000 bhej diye gaye hain. Confirm karne ke liye apna PIN dalein.,hi
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 321531.,en
investment_scam,scam,RBI Approved SIP: Invest Rs.1000/month and get 1 Crore in 5 years. Start your journey today: http://airtel-claim-reward-now.net,en
investment_scam,scam,Part-time job offer from Amazon. Earn up to Rs.3000/day. Message HR on WhatsApp: +91-8739166687,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.25000. Claim it here: http://secure.tata-secure-login.xyz,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.9999 online using http://www.jio-official-portal.co and get 10% cashback.",en
phishing,scam,Your Punjab National Bank internet banking access will be locked in 24 hrs. Verify your identity at http://flipkart-claim-reward-now.net,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.50000. Claim it here: http://paytm-secure-login.xyz,en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
upi_fraud,scam,Your Paytm KYC details are incomplete. Your wallet will be blocked. Call +91-8161978760 to update.,en
upi_fraud,scam,"ALERT: Rs.50000 debited from your A/c. If not done by you, forward this SMS to +91-7922243684 to block transaction.",en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
phishing,scam,Action Required: Complete your SBI Aadhaar linking process today via http://airtel-official-portal.co,en
phishing,scam,Your SBI internet banking access will be locked in 24 hrs. Verify your identity at http://secure.flipkart-update-kyc.in,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
investment_scam,scam,Work from home opportunity! Earn Rs.5000 daily by liking YouTube videos. Deposit Rs.250 security fee.,en
benign,safe,OTP for login to your HDFC account is 539787. Do not share this with anyone.,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
upi_fraud,scam,Customer Service: Please share the 6-digit OTP to process your refund of Rs.5000 via UPI.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.100000. Claim it here: http://paytm-official-portal.co,en
benign,safe,"Salary of Rs.100000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 9426598684@paytm,en
upi_fraud,scam,YOUR ELECTRICITY BILL OF RS.100000 IS PENDING. POWER WILL BE DISCONNECTED AT 9 PM. PAY VIA UPI: 7262099062@YBL,en
phishing,scam,Jio Winner! You have been selected for a free gift worth Rs.9999. Claim: http://amazon-refund-processing.online,en
phishing,scam,"Dear customer, your PAN card is not linked to your Yes Bank account. Link now: http://secure.paytm-official-portal.co",en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://www.reliance-secure-login.xyz to continue watching.,en
upi_fraud,scam,Aapke UPI par Rs.25000 bhej diye gaye hain. Confirm karne ke liye apna PIN dalein.,hi
